product_content_id,event_date,price,sold_count,visit_count,basket_count,favored_count,category_sold,category_brand_sold,category_visits,ty_visits
3904356,2020-05-06,NaN,0,58,0,1,711,17,661158,141796319
6676673,2020-05-06,157.99,339,15265,1180,237,2,NaN,458,141796319
4066298,2020-05-06,77.79,238,3219,522,127,260,54,62326,141796319
32939029,2020-05-06,103.07,223,7271,744,452,113,86,123786,141796319
85004,2020-05-06,77.42,96,3233,415,361,553,14,372347,141796319
7061886,2020-05-06,234.6,160,7254,554,287,155,15,295990,141796319
5926527,2020-05-06,29.99,1,116,2,3,358,235,189099,141796319
31515569,2020-05-06,44.99,218,34297,1863,782,1480,41,1083701,141796319
3904356,2020-05-05,NaN,0,87,2,1,701,30,664466,145731771
4066298,2020-05-05,77.7,203,2509,494,83,264,55,55502,145731771
85004,2020-05-05,74.58,74,4021,464,380,540,14,404254,145731771
6676673,2020-05-05,155.38,304,18723,1238,283,169,13,96707,145731771
5926527,2020-05-05,NaN,0,290,2,4,346,223,202524,145731771
32939029,2020-05-05,103.17,222,6699,781,356,117,83,123850,145731771
31515569,2020-05-05,44.84,218,34436,2369,971,1409,47,1126938,145731771
7061886,2020-05-05,234.78,169,7895,545,276,129,14,320096,145731771
31515569,2020-05-04,44.99,182,30399,1487,802,1469,47,1091008,141954662
3904356,2020-05-04,NaN,0,66,0,0,686,26,659740,141954662
7061886,2020-05-04,236.07,124,7423,496,274,133,18,342333,141954662
5926527,2020-05-04,NaN,0,286,2,7,322,214,186877,141954662
85004,2020-05-04,76.11,71,3475,387,318,529,14,370340,141954662
6676673,2020-05-04,154.74,293,20632,1356,335,377,26,348388,141954662
32939029,2020-05-04,103.58,199,6201,652,381,130,93,129441,141954662
4066298,2020-05-04,79.14,140,2226,316,81,262,54,55593,141954662
31515569,2020-05-03,44.99,168,36936,1349,1058,1565,51,1344262,167535048
4066298,2020-05-03,73.13,331,3157,609,120,248,44,59601,167535048
85004,2020-05-03,75.86,67,2612,329,247,542,12,379468,167535048
7061886,2020-05-03,233.99,105,7584,506,355,146,19,415787,167535048
32939029,2020-05-03,105.86,159,7373,620,569,110,75,149724,167535048
